lab_name,unit_variants,measurements,patient_stays,coverage,p01,median,p99,observed_min,observed_max
troponin - i,ng/mL,18041,11300,0.19319211502624337,0.01,0.25,129.79,0.0,1610.0
cpk,Units/L,12614,8574,0.14658665435708057,16.0,218.0,20727.0,5.0,1270000.0
urinary specific gravity,[missing],8377,8195,0.14010702501239508,1.003,1.017,1.053,1.0,1.132
total co2,[missing],15861,8174,0.13974799541809851,9.0,23.9,57.6,-14.1,146.0
ionized calcium,mg/dL,13207,7891,0.1349096442187687,0.124,4.48,5.92,0.089,9.84
peep,cm H2O,13855,7667,0.13107999521293875,4.0,5.0,16.0,0.0,649.0
temperature,&#176;C,13225,6700,0.1145475372279496,33.3,37.0,99.7,1.0,327.0
tv,mls,10903,6449,0.11025627874373835,270.0,500.0,800.0,0.0,90000.0
cpk-mb,ng/mL,9416,6163,0.10536663760236617,0.6,6.8,439.0,0.2,2699.1
carboxyhemoglobin,%,10076,5515,0.09428801012121522,0.0,0.9,3.5,-4.0,25.1
methemoglobin,%,9892,5355,0.0915525465456224,0.0,0.4,2.0,-1.1,13.5
triglycerides,mg/dL,5380,5227,0.08936417568514814,31.0,105.0,1208.0,17.0,12120.0
tsh,mcU/ml,5281,5200,0.08890256620676686,0.032,1.42,23.62,0.0,195.0
direct bilirubin,mg/dL,4761,4369,0.07469525226103162,0.0,0.3,9.7,0.0,47.3
respiratory rate,/min,5794,4184,0.0715323725017524,6.0,17.0,37.0,0.0,904.0
base deficit,mEq/L,7848,4163,0.07117334290745585,0.0,4.1,22.0,-16.2,31.5
total cholesterol,mg/dL,4211,4151,0.07096818313928639,59.0,150.0,354.0,12.0,1153.0
hdl,mg/dL,4204,4148,0.07091689319724402,9.0,40.0,94.0,2.0,162.0
vent rate,/min,6816,4137,0.07072883007642201,4.0,16.0,420.0,0.0,700.0
fibrinogen,mg/dL,4758,3694,0.06315501530149938,75.0,267.0,807.0,21.0,1264.0
-bands,%,3968,3496,0.05976987912670325,0.0,9.0,67.0,0.0,94.8
o2 content,mls/dL,6405,3445,0.05889795011198304,7.8,15.4,24.7,2.2,100.0
ldl,mg/dL,3172,3125,0.05342702296079739,17.0,82.0,204.0,-2.0,469.0
cpk-mb index,%,4532,2984,0.05101639568480621,0.2,3.5,21.0,0.0,355.6
bnp,pg/mL,2603,2533,0.04330580773110393,15.0,583.0,36804.0,6.0,160562.0
troponin - t,ng/mL,4031,2490,0.04257065189516336,0.01,0.13,13.3,0.01,42.4
lipase,Units/L,2449,2357,0.040296797797951825,4.0,61.0,7519.0,0.9,29779.0
oxyhemoglobin,%,4670,2345,0.04009163802978236,5.0,96.6,99.1,0.0,102.0
pressure support,cm H2O,3699,2208,0.037749397343181,0.0,10.0,20.0,0.0,103.0
lpm o2,L/min,2405,2081,0.0355781231300542,0.0,4.0,100.0,0.0,122.0
urinary sodium,mmol/L,2056,1993,0.03407361816347814,7.0,45.0,166.0,5.0,283.0
serum osmolality,mOsm/kg H2O,2419,1925,0.032911046143851194,222.0,295.0,448.0,57.0,899.0
ammonia,mcg/dL,1936,1815,0.031030414935631124,1.5,40.0,268.0,0.9,687.4
wbc's in urine,[missing],1598,1578,0.02697850951428425,0.0,5.0,179.0,0.0,1583.0
urinary creatinine,mg/dL,1755,1547,0.02644851344651314,8.7,85.7,335.7,1.1,609.6
amylase,Units/L,1523,1464,0.02502949171667436,9.0,57.0,1258.0,4.0,4867.0
free t4,ng/dL,1436,1426,0.024379819117471065,0.36,1.08,2.4,0.1,5.1
cortisol,mcg/dL,1351,1305,0.02231112478842899,2.2,24.2,141.4,0.1,280.5
ldh,Units/L,1320,1163,0.019883400865090356,110.0,288.0,7596.0,52.0,79411.0
urinary osmolality,mOsm/L,1180,1128,0.019285018207929425,56.0,357.0,944.0,37.0,1064.0
fe,mcg/dL,1097,1074,0.018361799251166846,6.0,35.0,295.0,5.0,418.0
vitamin b12,pg/mL,995,987,0.01687439093193825,143.0,580.0,2394.0,43.0,13941.0
prealbumin,mg/dL,928,910,0.0155579490861842,3.0,13.3,34.5,2.9,57.3
tibc,mcg/dL,848,840,0.014361183771862338,70.0,220.0,522.0,0.14,609.0
ferritin,ng/mL,835,828,0.014156024003692876,5.0,210.4,14179.0,2.0,45969.0
spontaneous rate,/min,1274,815,0.013933767588175959,0.0,17.0,43.0,0.0,897.0
esr,mm/hr,823,813,0.013899574293481048,1.0,29.0,126.0,0.0,142.0
crp,mg/dL,781,763,0.01304474192610829,0.1,9.8,3000.0,0.0,4535.0
uric acid,mg/dL,806,725,0.012395069326904994,0.8,5.9,18.7,0.2,25.8
folate,ng/mL,692,686,0.011728300080354243,2.6,12.1,44.02,1.3,84.1
peak airway/pressure,cm H2O,1005,683,0.011677010138311877,5.0,19.0,38.0,0.0,500.0
ptt ratio,ratio,873,654,0.011181207365235677,0.7,1.1,6.0,0.6,28.0
fe/tibc ratio,%,649,642,0.010976047597066215,2.0,16.0,100.0,2.0,122.0
vancomycin - random,mcg/mL,429,420,0.007180591885931169,2.7,14.2,44.1,1.2,64.8
digoxin,ng/mL,372,360,0.006154793045083859,0.1,1.0,5.9,0.1,9.2
vancomycin - trough,mcg/mL,332,329,0.005624796977312749,2.3,14.8,49.3,0.1,58.1
reticulocyte count,%,298,296,0.005060607614846728,0.2,2.0,81.0,0.2,88.0
phenytoin,mcg/mL,286,269,0.004598998136465439,1.1,12.0,36.5,0.9,76.0
myoglobin,ng/mL,348,248,0.00423996854216888,23.0,171.0,6792.0,10.0,12061.0
haptoglobin,mg/dL,238,233,0.003983518831957053,9.0,141.0,526.0,0.0,626.7
transferrin,mg/dL,229,224,0.003829649005829957,75.0,189.0,371.0,36.0,390.0
24 h urine protein,mg/24HR,224,217,0.0037099724743977704,12.0,30.0,3112.0,9.0,4106.0
acetaminophen,mcg/mL,279,214,0.003658682532355405,0.0,11.9,363.0,0.0,410.0
protein - csf,mg/dL,184,181,0.0030944931698893845,5.0,56.0,1290.0,1.5,1852.0
t4,mcg/dL,178,178,0.003043203227847019,1.7,6.75,17.3,0.5,23.3
glucose - csf,mg/dL,177,174,0.0029748166384571985,17.0,80.0,223.0,7.0,261.0
vent other,[missing],227,163,0.0027867535176351915,4.0,10.0,131.0,2.0,500.0
pressure control,cm H2O,221,157,0.0026841736335504606,0.0,20.0,59.0,0.0,74.0
device,[missing],263,156,0.0026670769862030055,0.0,840.0,840.0,0.0,840.0
wbc's in cerebrospinal fluid,[missing],143,126,0.0021541775657793506,0.0,5.0,7750.0,0.0,15000.0
salicylate,mg/dL,241,124,0.00211998427108444,0.3,23.5,1780.0,0.0,2790.0
ethanol,mg/dL,118,111,0.0018977278555675232,0.0,86.0,415.0,0.0,517.0
serum ketones,[missing],122,88,0.0015045049665760545,0.05,2.05,91.7,0.0,113.9
wbc's in body fluid,[missing],94,87,0.0014874083192285992,0.0,410.0,219250.0,0.0,219250.0
lithium,mmol/L,116,79,0.001350635140448958,0.1,1.2,3.9,0.1,5.1
t3,ng/dL,74,74,0.001265151903711682,0.25,50.89,124.0,0.25,124.0
prolactin,ng/mL,72,72,0.0012309586090167718,0.4,17.9,1974.6,0.4,1974.6
tacrolimus-fk506,ng/mL,72,70,0.0011967653143218615,1.3,6.2,22.0,1.3,22.0
crp-hs,mg/L,66,65,0.0011112820775845856,0.54,16.2,350.36,0.54,350.36
protein c,%,62,62,0.00105999213554222,17.0,97.0,200.0,17.0,200.0
protein s,%,55,55,0.000940315604110034,29.0,82.0,204.0,29.0,204.0
t3ru,%,39,39,0.0006667692465507514,25.8,33.6,78.0,25.8,78.0
cd 4,[missing],38,38,0.0006496725992032963,1.0,51.0,383.0,1.0,383.0
theophylline,mcg/mL,33,33,0.0005641893624660204,1.1,6.1,35.4,1.1,35.4
mode,[missing],42,32,0.0005470927151185653,0.0,0.0,60.0,0.0,60.0
tobramycin - random,mcg/mL,34,31,0.00052999606777111,0.3,4.5,19.5,0.3,19.5
carbamazepine,mcg/mL,35,29,0.0004958027730761998,0.4,9.5,52.4,0.4,52.4
