source,term,records,patient_stays
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|due to excess sodium administration,172,28
DIAGNOSIS,cardiovascular|post vascular surgery|s/p dialysis access surgery,172,82
DIAGNOSIS,cardiovascular|shock / hypotension|hypotension / pressor dependent|adrenal insufficiency present,170,37
DIAGNOSIS,renal|post gu surgery|s/p procedure for nephrolithiasis,168,70
DIAGNOSIS,renal|abnormality of urine quantity or quality|pyuria,167,42
DIAGNOSIS,renal|post gu surgery|s/p procedure for nephrolithiasis|closed,163,43
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria|low effective intravascular volume,160,32
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|stage 1 (gfr >90),160,65
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to renal disease,159,36
DIAGNOSIS,cardiovascular|vascular disorders|hypertension|with heart failure and renal failure,150,34
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|moderate,148,27
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|radiocontrast dye,147,41
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|etiology unknown,146,20
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|chronic,139,31
DIAGNOSIS,renal|fluid imbalance|hypervolemia|in the absence of renal failure,137,21
DIAGNOSIS,renal|abnormality of urine quantity or quality|anuria|suspect atn,134,23
DIAGNOSIS,cardiovascular|ventricular disorders|hypertension|with renal failure,132,31
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|due to poor intake,130,34
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|moderate,128,10
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to diuretics,128,29
DIAGNOSIS,endocrine|adrenal disorders|hypotension / pressor dependent|adrenal insufficiency present,127,12
DIAGNOSIS,oncology|gu tumors|renal cell ca|left kidney,127,39
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|nsaids,126,32
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|etiology unknown,124,18
DIAGNOSIS,infectious diseases|gi infections|peritonitis|dialysis associated,118,21
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|rhabdomyolysis,117,40
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|severe,116,25
DIAGNOSIS,oncology|gu tumors|renal cell ca|right kidney,115,42
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|known bacterial,111,20
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to sepsis,109,10
DIAGNOSIS,surgery|renal issues|acute renal failure,106,37
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|metabolic acidosis|acute,105,33
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|unexpected hypotension / pressor requirement,101,21
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus,99,20
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to congestive heart failure,98,20
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|primary,95,15
DIAGNOSIS,endocrine|adrenal disorders|hypotension / pressor dependent,94,26
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|posthypercapneic metabolic alkalosis,93,18
DIAGNOSIS,endocrine|fluids and electrolytes|hyperkalemia|due to renal disease,92,40
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|due to renal loss,91,24
DIAGNOSIS,transplant|s/p kidney transplant|rejection - kidney transplant,91,16
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|suspected,87,16
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|suspected,84,9
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|renal tubular acidosis,83,14
DIAGNOSIS,transplant|s/p kidney transplant|oliguria - kidney transplant,83,30
DIAGNOSIS,renal|disorder of kidney|traumatic renal injury,82,30
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|respiratory acidosis,82,22
DIAGNOSIS,infectious diseases|gu infections|acute pyelonephritis|without renal calculi,81,36
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|due to gi loss,80,24
DIAGNOSIS,burns/trauma|trauma - abdomen|adrenal trauma,76,17
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|etiology unknown,75,12
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|due to extra-renal loss,72,14
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels,72,11
DIAGNOSIS,transplant|s/p kidney transplant|fever - kidney transplant,69,19
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to hypovolemia,68,26
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to interstitial nephritis from drugs,68,19
DIAGNOSIS,renal|abnormality of urine quantity or quality|anuria|etiology unknown,67,9
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to rhabdomyolysis,66,12
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|due to hypovolemia,66,18
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|known fungal,65,5
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to massive transfusion,64,7
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|etiology unknown,62,22
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|due to transcellular shift,59,12
DIAGNOSIS,cardiovascular|vascular disorders|hypertension|renal artery stenosis,59,13
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced|ethylene glycol-induced,59,11
DIAGNOSIS,gastrointestinal|trauma|renal trauma,57,12
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|secondary,56,16
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria|etiology unknown,55,12
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to rhabdomyolysis,55,21
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|suspected,53,19
DIAGNOSIS,toxicology|drug overdose|acetaminophen overdose|with acute renal failure,52,9
DIAGNOSIS,cardiovascular|vascular disorders|arterial thromboembolism|kidney,52,19
DIAGNOSIS,gastrointestinal|abdominal/ general|peritonitis|dialysis associated,51,25
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|central,51,9
DIAGNOSIS,cardiovascular|diseases of the aorta|aortic dissection|with renal ischemia,51,6
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to transcellular shift,51,18
DIAGNOSIS,renal|disorder of urinary tract|urinary tract disorder,50,28
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|ace inhibitors,49,17
DIAGNOSIS,endocrine|pituitary and temperature regulation|pituitary adrenal insufficiency,48,15
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|respiratory acidosis|acute,48,11
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|due to diuresis,48,11
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|severe,47,17
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|respiratory alkalosis-|acute,44,6
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels|from drugs,44,4
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria|possibly due to low co,43,11
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|perinephric abscess,43,8
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|suspected,42,12
DIAGNOSIS,renal|disorder of urinary tract|lower urinary tract calculus,41,27
DIAGNOSIS,renal|post gu surgery|s/p nephrectomy|with ivc involvement,41,9
DIAGNOSIS,cardiovascular|ventricular disorders|hypertension|with heart failure and renal failure,41,10
DIAGNOSIS,endocrine|adrenal disorders|hypotension / pressor dependent|r/o adrenal insufficiency,40,12
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|severe,39,8
DIAGNOSIS,transplant|s/p kidney transplant|rejection - kidney transplant|chronic,39,4
DIAGNOSIS,surgery|renal issues|hypokalemia|moderate ( 2.8 - 3.5 meq/dl),39,12
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to tumor lysis,38,6
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to tumor lysis,37,8
DIAGNOSIS,renal|post gu surgery|s/p pelvic exenteration,36,20
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|due to hyperparathyroidism,35,11
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to drugs,35,13
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|etiology unknown,35,6
DIAGNOSIS,renal|abnormality of urine quantity or quality|anuria|r/o obstruction,35,10
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|hypokalemic alkalosis,34,10
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|metabolic alkalosis,34,9
DIAGNOSIS,surgery|renal issues|acute renal failure|due to hypovolemia/decreased circulating volume,33,12
DIAGNOSIS,"renal|disorder of acid base|metabolic alkalosis|due to gi acid loss (vomiting, ng drainage)",33,11
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|metabolic alkalosis|acute,32,7
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis|etiology unknown,32,5
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|hydronephrosis,31,15
DIAGNOSIS,surgery|renal issues|hyperkalemia,31,11
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|due to hypomagnesemia,30,10
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to renal failure,29,11
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|respiratory acidosis|chronic,29,6
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|suspected,28,6
DIAGNOSIS,surgery|renal issues|oliguria,27,11
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to cardio-pulmonary bypass,27,10
DIAGNOSIS,endocrine|adrenal disorders|cushing's syndrome|hypercortisolism,26,3
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|etiology unknown,26,6
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|arbs,26,3
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|likely fungal,25,3
DIAGNOSIS,surgery|renal issues|metabolic acidosis,24,13
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to adrenal insufficiency,24,9
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels|from pulmonary process,23,6
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|ethylene glycol,23,8
DIAGNOSIS,surgery|renal issues|acute renal failure|due to sepsis,22,8
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|central|from trauma,22,4
DIAGNOSIS,surgery|renal issues|hyponatremia|moderate (125 - 135 meq/dl),21,10
DIAGNOSIS,surgery|renal issues|metabolic acidosis|severe,21,7
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|due to drugs,21,4
DIAGNOSIS,infectious diseases|gu infections|renal abscess,21,9
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|suspected,21,5
DIAGNOSIS,surgery|renal issues|hypokalemia,18,7
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|renal abscess,18,11
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|central|from neurosurgery,18,5
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|due to central diabetes insipidus,18,6
DIAGNOSIS,endocrine|fluids and electrolytes|hyponatremia|due to renal disease,17,5
DIAGNOSIS,surgery|renal issues|acute renal failure|due to obstruction,17,7
DIAGNOSIS,surgery|renal issues|acute renal failure|etiology unknown,17,6
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to excess intake,16,8
DIAGNOSIS,transplant|s/p kidney transplant|hyperkalemia - kidney transplant,16,5
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|renal tubular acidosis|type unknown,16,3
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels|from cns process,16,7
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|immunosuppressives,16,6
DIAGNOSIS,renal|electrolyte imbalance|hypermagnesemia|due to magnesium therapy,16,2
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to transplant rejection,16,4
DIAGNOSIS,transplant|s/p kidney transplant|fever - kidney transplant|postop < 2 weeks,15,3
DIAGNOSIS,surgery|renal issues|hyperkalemia|severe (> 6.1 meq/dl),15,6
DIAGNOSIS,surgery|other surgery|s/p adrenal surgery,15,8
DIAGNOSIS,surgery|renal issues|hyperkalemia|moderate ( 5.5 -6.1 meq/dl),15,6
DIAGNOSIS,renal|abnormality of urine quantity or quality|polyuria|post atn diuresis,14,3
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced|drug unknown,14,6
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|nephrogenic|from drugs,14,1
DIAGNOSIS,renal|disorder of urinary tract|renal and ureteral disorder,14,12
DIAGNOSIS,renal|post gu surgery|s/p procedure for nephrolithiasis|open,13,5
DIAGNOSIS,renal|abnormality of urine quantity or quality|myoglobinuria,13,4
DIAGNOSIS,endocrine|adrenal disorders|cushing's syndrome,13,7
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced|other chemical,13,4
DIAGNOSIS,surgery|renal issues|hyponatremia,13,5
DIAGNOSIS,surgery|other surgery|s/p adrenal surgery|pheochromocytoma,13,5
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|hemolysis,13,2
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|suspected,12,4
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|renal tubular acidosis|probable type 2,12,1
DIAGNOSIS,surgery|renal issues|respiratory acidosis,12,4
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to rapid transfusion,11,2
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels|from major surgery,11,2
DIAGNOSIS,endocrine|fluids and electrolytes|hyponatremia|due to adrenal insufficiency,11,4
DIAGNOSIS,renal|electrolyte imbalance|hypermagnesemia|due to renal insufficiency,11,5
DIAGNOSIS,endocrine|adrenal disorders|cushing's syndrome|pituitary,11,4
DIAGNOSIS,surgery|renal issues|metabolic acidosis|increased anion gap,10,6
DIAGNOSIS,gastrointestinal|abdominal/ general|ascites|dialysis associated,10,4
DIAGNOSIS,renal|disorder of urinary tract|urethral stricture,9,2
DIAGNOSIS,surgery|renal issues|acute renal failure|suspected,9,2
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|metabolic alkalosis|chronic,9,4
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|unexplained electrolyte abnormality,9,5
DIAGNOSIS,surgery|renal issues|acute renal failure|due to hepatorenal syndrome,9,3
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|with intestinal bladder,9,2
DIAGNOSIS,surgery|renal issues|hyponatremia|severe (< 125 meq/dl),9,4
DIAGNOSIS,endocrine|fluids and electrolytes|hypocalcemia|due to renal failure,8,1
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|central|from cva,8,4
DIAGNOSIS,surgery|renal issues|hypernatremia|severe (> 155 meq/dl),8,3
DIAGNOSIS,endocrine|fluids and electrolytes|hypokalemia|due to extra-renal loss,8,3
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|due to nephrogenic diabetes insipidus,8,2
DIAGNOSIS,surgery|renal issues|metabolic acidosis|moderate,8,4
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|due to cns depression|related to drugs or medications,7,5
DIAGNOSIS,surgery|renal issues|oliguria|hypovolemia,7,1
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|nephrogenic,7,2
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis|iatrogenic,7,2
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|due to intrinsic lung disease,7,2
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|suspected,7,2
DIAGNOSIS,endocrine|adrenal disorders|hyperaldosteronism,6,1
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis|anxiety related,6,2
DIAGNOSIS,renal|abnormality of urine quantity or quality|polyuria|r/o renal concentrating defect,6,1
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|aminoglycosides,6,2
DIAGNOSIS,surgery|infections|sepsis|sepsis with single organ dysfunction- acute renal failure,6,3
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to elevated adh levels|from tumor other than lung,6,5
DIAGNOSIS,renal|electrolyte imbalance|hypermagnesemia|etiology unknown,6,2
DIAGNOSIS,surgery|renal issues|acute renal failure|due to cardio-pulmonary bypass,6,1
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|due to cns depression,6,1
DIAGNOSIS,renal|abnormality of urine quantity or quality|polyuria|r/o polydipsia,6,3
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced|methanol-induced,5,1
DIAGNOSIS,renal|abnormality of urine quantity or quality|polyuria|due to glycosuria,5,1
DIAGNOSIS,transplant|s/p kidney transplant|rejection - kidney transplant|acute,5,2
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis|suspected,5,2
DIAGNOSIS,surgery|renal issues|hypernatremia|moderate (146 - 155 meq/dl),5,2
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|likely fungal,5,1
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|due to mineralocorticoid excess,4,1
DIAGNOSIS,surgery|renal issues|respiratory acidosis|acute,4,1
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|suspected,4,2
DIAGNOSIS,transplant|s/p kidney transplant|hemorrhage - kidney transplant,4,3
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|due to autoimmune adrenal atrophy,4,1
DIAGNOSIS,surgery|renal issues|anuria|suspect atn,4,1
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|due to adrenal insufficiency,4,1
DIAGNOSIS,endocrine|fluids and electrolytes|hypokalemia|due to renal loss,4,3
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|respiratory alkalosis-,4,2
DIAGNOSIS,endocrine|adrenal disorders|hypoaldosteronism,4,2
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|due to cns depression|related to encephalopathy,3,2
DIAGNOSIS,surgery|infections|peritonitis|dialysis associated,3,2
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced|salicylate-induced,3,1
DIAGNOSIS,transplant|s/p kidney transplant|renal vein thrombosis - kidney transplant,3,1
