cell_label,cell_path,records,patient_stays,value_deciles
urinary catheter output: condom urethral,flowsheet|flowsheet cell labels|i&o|output (ml)|urinary catheter output: condom urethral,198,14,[   0.    6.   24.   79.  100.  121.  140.  165.  250.  500. 1500.]
output (ml)-ostomy-gu urostomy,flowsheet|flowsheet cell labels|i&o|output (ml)|output (ml)-ostomy-gu urostomy,190,10,[   0.  100.  150.  175.  200.  250.  300.  375.  550.  750. 1350.]
unmeasured voids,flowsheet|flowsheet cell labels|i&o|output (ml)|unmeasured voids,170,49,[  1.   1.   1.   1.   1.   1.   1.   1.   1.   1. 675.]
urine output-right nephrouretero stent urine output,flowsheet|flowsheet cell labels|i&o|output (ml)|urine output-right nephrouretero stent urine output,159,1,[  0.  15.  25.  40.  50.  70. 100. 125. 180. 250. 400.]
urinary catheter output: nephrostomy l,flowsheet|flowsheet cell labels|i&o|output (ml)|urinary catheter output: nephrostomy l,148,10,"[1.00e+00 1.00e+01 2.50e+01 4.50e+01 5.00e+01 7.50e+01 1.00e+02 1.25e+02
 1.50e+02 2.50e+02 1.30e+03]"
right nephrostomy,flowsheet|flowsheet cell labels|i&o|output (ml)|right nephrostomy,139,7,[ 20.  50.  75.  90. 110. 135. 175. 200. 250. 300. 600.]
urinary catheter output: nephrostomy r,flowsheet|flowsheet cell labels|i&o|output (ml)|urinary catheter output: nephrostomy r,139,14,[   9.   50.  100.  134.  200.  200.  250.  350.  450.  650. 1025.]
output (ml)-nephrostomy right 10.2 fr.,flowsheet|flowsheet cell labels|i&o|output (ml)|output (ml)-nephrostomy right 10.2 fr.,129,3,[  0.  50. 100. 100. 150. 200. 200. 250. 300. 350. 750.]
urinary catheter output: suprapubic,flowsheet|flowsheet cell labels|i&o|output (ml)|urinary catheter output: suprapubic,127,14,[   3.   50.  125.  200.  250.  400.  450.  600. 1000. 1300. 2400.]
urine output-nephrostomy,flowsheet|flowsheet cell labels|i&o|output (ml)|urine output-nephrostomy,124,4,[  0.   5.  10.  15.  15.  20.  40.  50. 100. 200. 450.]
foley catheter,flowsheet|flowsheet cell labels|i&o|output (ml)|foley catheter,120,4,[  50.  125.  175.  250.  350.  450.  550.  650.  750. 1000. 1800.]
urinary incont.,flowsheet|flowsheet cell labels|i&o|output (ml)|urinary incont.,110,1,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
nephrostomy,flowsheet|flowsheet cell labels|i&o|output (ml)|nephrostomy,109,5,[  0.  40.  80. 100. 110. 125. 150. 200. 240. 325. 600.]
or urine,flowsheet|flowsheet cell labels|i&o|output (ml)|or urine,108,91,[   0.   50.  185.  250.  375.  475.  600.  770. 1000. 1450. 5500.]
"urine, l neph:","flowsheet|flowsheet cell labels|i&o|output (ml)|urine, l neph:",106,3,[ 25.  50.  80. 100. 100. 110. 150. 210. 275. 425. 675.]
incontinent urine,flowsheet|flowsheet cell labels|i&o|output (ml)|incontinent urine,100,13,[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2.]
